"","country","country_id","coastal_protection_reef","coastal_protection","coastal_protection_offshore","coastal_protection_onshore","commercial_timber","domestic_timber","flood_nathab","flood_mitigation_500km","flood_mitigation_50km","fuelwood","fwfish","grazing","marinefish","moisture_recycling","nitrogen_retention_500km","nitrogen_retention_50km","rural_nature_access_360","rural_nature_access_60","urban_nature_access_360","urban_nature_access_60","pollination","reef_tourism","sediment_deposition_500km","sediment_deposition_50km","vulnerable_carbon"
"1","Aruba","ABW",0,118392.804966316,82826.6676962376,69638.9925367087,0,0,0,0,0,0,0,0.413285387485391,0.0167925488203764,0,8416641.04650879,8200145.98825073,27590.5893554688,27632.0311279297,34349.6276855469,34517.1232910156,0,186,0,0,361
"2","Afghanistan","AFG",0,0,0,0,57.0867120561199,393.013042554949,391677372.68425,147809.187991981,52104.4619863445,472.997139385763,592.868886850192,3763.86892270061,0,1380238.1661928,1460639095124.65,282395952287.56,12056184.2290303,10089388.6183083,4905582.53101378,2956422.38680346,457.956186048454,0,68348549504.1428,12542965013.2868,1276702
"3","Angola","AGO",0,5780919.87869638,1414741.40955558,1104950.7401315,8288.39110005531,12032.1741653324,1931859903.47258,39044600.1793336,6206591.62373087,20234.4112567299,3899.34850604192,7152.82206510183,3805.16628551483,1742905.8218748,474627725299.147,50676967690.9401,13755077.6756006,13069795.1895283,8568611.36406261,4244887.22054536,103.410506295692,0,3914234394.96112,773865899.596577,15151168
"4","Anguilla","AIA",0,72930.9598999023,20350.1160240173,48606.5758056641,0,0.00519103344956946,0,0,0,3.49499222878349e-05,0,0,0.562785983085632,0,1037519.74609375,1010855.6796875,0,0,0,0,0,83,0,0,389
"5","Åland","ALA",0,76699.7281560453,43679.489649526,56380.5210058244,2.65119404937455,7.09512191865853,0,0,0,2.58234587202563,0,1.53494665614861,53.5792679190636,0,0,0,16123.5421524048,15734.7279882431,0,0,0,0,0,0,9393
"6","Albania","ALB",0,198681.886088537,37158.3727925569,45650.9620827753,352.421491262993,30.2801590895598,30700291.9165883,1614355.13623283,803835.627616184,346.396718076201,114.609997190069,1347.20973389772,3.07735991477966,30317.1612192167,4622833829.47917,2389787919.63895,681093.552166,395885.16348509,429970.483047009,243357.393041872,1073.43956099378,0,400296250.076356,196188780.212538,202394
"7","Andorra","AND",0,0,0,0,4.18425978043767,0.000613477301723693,674465.841690103,54870.5097245914,7666.30096895367,4.82458174759665,0,7.52498052495218,0,1315.57401974775,992446998,470385764.25,43754.384475708,44402.327388756,23965.367225647,21906.2974786758,0.00237055699153643,0,66260897.477417,31355357.2012939,8897
"8","United Arab Emirates","ARE",0,2692955.46583418,1356503.30509404,89402.3475056309,0.059404132608134,0.0706524006759789,2891114.28427165,1381.90739887506,1014.42390921083,0.261364995350147,0,0,215.985579609871,0,314685383.916465,229355885.278986,144721.454423718,108441.958540956,487982.567060888,159621.968375683,36.4031885449076,185,6763697.35847605,4582785.61769006,782
"9","Argentina","ARG",0,2082023.82755676,590726.101094489,469189.588746884,25063.2927065043,399.322524401051,1593109224.32457,38967735.9286427,9481655.57653657,2207.11986076072,5657.52523001551,43088.5948053908,1119.23211747408,1063063.51281345,186006415985.693,32470519592.9907,7552405.79455226,6645864.68096488,10359859.3552384,8619089.84951117,172966.829985524,0,7472753485.67427,1887130381.15237,17906618
"10","Armenia","ARM",0,0,0,0,86.3176353824455,25.6589676238797,31304342.7180601,2005592.58222272,695153.282472204,105.654127303105,81.3217932272237,209.359586686401,0,24421.0688495571,15827044667.9375,4132589393.71875,535866.629204869,323719.272962452,465513.757480409,81838.7564950883,3049.40330582536,0,866161012.345581,237633148.117737,120947
"11","American Samoa","ASM",0,63705.0986089706,42286.9743652344,0,0,0,0,0,0,0,0,0,0.187457010149956,0,0,0,0,0,0,0,0,72,0,0,0
"12","Antarctica","ATA",0,0,0,0,0,0,0,0,0,0,0,0,9635.33479014071,0,0,0,0,0,0,0,0,0,0,0,0
"13","French Southern Territories","ATF",0,0,0,0,0,0,0,0,0,0,0,0,0.772412202495616,0,0,0,0,0,0,0,0,0,0,0,0
"14","Antigua and Barbuda","ATG",0,112531.600128174,63184.1399827786,83621.6818618774,4.34640348035727,0,0,0,0,1.47925435335297,0,25.9676442864199,0.155248984694481,0,4557115.79567599,4447319.4698689,46019.8086395264,45345.5461956556,32312.9453125,31889.2883529663,0,267,0,0,5219
"15","Australia","AUS",864044114.93823,4838904.16288865,1436577.1096088,1537150.75492411,73945.4714854507,207.496016485273,860580920.824744,63167066.8888557,20776012.5508084,1449.03191028371,106.802185605397,49067.4134466753,537.935468347743,2020106.39230612,111627111827.414,26829107058.8035,6639138.09235265,5545164.24734945,9608488.38856483,6168420.62389052,65927.0704992959,2883,2173632849.01313,487115757.287086,36984067
"16","Austria","AUT",0,0,0,0,1839.21150000231,55.2928373880488,380304167.474411,10767356.0308435,1445143.30709688,675.108676428594,72.3842668301659,1046.18502148591,0,192373.376582176,230734644626.625,39779223162.6562,4121622.87100244,3605961.33416791,1841604.79322387,1218959.87634317,15027.9469116632,0,13336847452.1142,2298514330.85124,377314
"17","Azerbaijan","AZE",0,0,0,0,316.972986678473,83.8990077896867,71660045.814209,605284.729227929,361575.381960067,367.701854984562,543.925367269665,1812.33461868773,0,41785.7251505162,12527968762.7371,3618564133.6588,1541632.65946983,944411.021252524,1151551.66090952,790069.478320534,3917.7942677284,0,813143750.2409,237881071.157641,357786
"18","Burundi","BDI",0,0,0,0,286.227019351653,188.012335348598,74655992.7080209,207330.545156806,13215.5035035391,1168.1064539268,194.548597631976,851.161877625531,0,28760.3897291229,21516336165.8125,3970019128.97754,3243662.13649392,2830097.86465997,451956.287866667,472432.676223397,2936.51582783219,0,2749057550.41473,410711938.824652,123501
"19","Belgium","BEL",0,331188.068877518,141230.260815412,176086.351745605,317.428355883838,1.18140309986558,158183574.156808,8684670.88379478,2694508.40143643,134.422323628821,23.0421992214397,910.569505254697,44.1021165847778,33353.8744687734,81240729739.5068,25545634660.4031,2689935.54081726,1773093.46580505,1572080.53886032,763860.209374681,16122.116343621,0,529208252.636104,160477192.809494,88203
"20","Benin","BEN",0,4411.8039855957,1337.61118739843,625.99462890625,757.475945577645,241.219402393898,197559480.670195,16645424.9977219,2752129.47263545,1577.29659072001,2989.07184288278,2365.54248968626,303.698400974274,72800.7373490621,117036265336.038,5631223669.34668,2440332.28520191,1831048.45019664,1260130.8892282,1369506.4101072,2189.90889971284,0,976559653.267099,87891062.6827907,705029
"21","Bonaire, Sint Eustatius and Saba","BES",0,51185.1324526344,46165.9843454361,30970.1769773413,0.071996905139606,0.185096138738559,0,0,0,0.0715404592143971,0,1.42948371026023,0,0,1078813.26019912,1051262.56736408,15088.9869995117,14893.5340490341,0,0,0,415,0,0,2246
"22","Burkina Faso","BFA",0,0,0,0,174.091683551838,363.082684353226,127890954.575323,4193950.09589797,315043.572411195,789.470788508675,5266.99787393562,5591.2073926362,0,24591.5026181565,104231366347.832,8485552003.02075,3367276.3758316,3105349.75495152,325881.866855223,365482.297776323,1703.33073878195,0,772281812.665665,71674035.4696547,397335
"23","Bangladesh","BGD",0,7149330.96351229,962221.584523943,1613199.86415112,2391.88877174676,156.859895275084,944449467.85602,54648447.3135275,23977401.9696959,3094.09113313804,31180.3226970868,1111.64652212158,12884.5218057632,42438.0410620868,103184440736.907,46563303549.6581,11941555.9005755,9522901.54345376,11504113.2564206,9721282.92180114,13200.6790109933,0,3462754836.35666,1264857746.66292,598569
"24","Bulgaria","BGR",0,121558.118805482,10803.1694913059,45865.4481697239,2004.18374002456,29.2246831928197,182376558.393861,13194637.1005565,3761973.01228659,312.001408999309,87.1215279058088,342.301723098748,6.08135318756104,171643.804428495,27782349929.0365,8878023240.56684,1696501.35076094,1176112.00903443,1240757.70013759,804844.492086869,8129.32609387572,0,603042171.04348,197862376.930158,779068
