,kba,coastal_protection_reef,coastal_protection,coastal_protection_offshore,coastal_protection_onshore,commercial_timber,domestic_timber,flood_nathab,flood_mitigation_500km,flood_mitigation_50km,fuelwood,fwfish,grazing,marinefish,moisture_recycling,nitrogen_retention_500km,nitrogen_retention_50km,rural_nature_access_360,rural_nature_access_60,urban_nature_access_360,urban_nature_access_60,pollination,reef_tourism,sediment_deposition_500km,sediment_deposition_50km,vulnerable_carbon
1,19,0,0,0,0,4.286837775,0.00073706,714723.3785,60490.60592,8525.99155,4.854511904,0,8.00704595,0,1430.527089,1118195441,514645802.4,47858.64842,47983.53254,25647.75321,23489.13797,0.003392027,0,75454168.16,33874345.8,9640
2,35,0,0,0,0,41.76580444,1.556430083,8959158.555,760391.3215,34770.17314,7.773386274,0.830317319,1.92994584,0,3469.358124,6556575651,411371614.6,54584.85115,23724.01569,28380.74473,0,0.037603791,0,25867612.15,1605972.487,24016
3,36,0,0,0,0,12.75757808,0,2890413.086,282682.0962,9448.397982,2.351521836,3.414652864,2.193214904,0,1399.679033,3282345921,136954632,31423.66803,19130.44345,16324.96112,2946.505261,7.576524004,0,8594802.813,381320.3932,9591
4,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,38,0,0,0,0,0.025251028,0,16332.8327,1389.420905,113.5090497,0.017996484,0.395141542,0.124179688,0,14.45565885,137345296,12965663,340.3968201,281.6296387,166.3714142,24.67142677,1.106143713,0,6727823.5,635549.5625,62
6,39,0,0,0,0,0,0,35473.01185,4161.805595,336.1867955,0,0,0,0,46.50701668,54747874,4397072.813,1360.970032,1174.231262,620.0769196,81.46326828,37.81154346,0,55970.55854,4697.723182,175
7,40,0,0,0,0,0,0,43626.58995,1055.18792,107.0677126,0,2.992079794,0.064171121,0,76.94187188,32263660.25,3315086.094,1998.625153,1944.916565,658.4985962,0,64.70374489,0,7822.137711,857.6582756,376
8,41,0,0,0,0,0,0,304803.071,6481.172405,528.8940249,0,24.30531539,0.878719508,0,292.3791131,129519666.8,11258657.06,6026.897552,6450.729225,2554.257263,0,81.56563452,0,155888.3421,14745.59897,1453
9,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,43,0,0,0,0,0.00777956,0,16563.54077,419.280127,37.88215186,0.009997876,1.052250504,0.128342241,0,0,4206283.875,381221.5156,834.3194885,732.2007751,279.7593994,0,22.68284082,0,3283624.631,300561.4624,88
11,48,0,0,0,0,0,0,0,0,0,0,0,0,37.5178352,0,0,0,0,0,0,0,0,0,0,0,0
12,49,0,0,0,0,0,0,0,0,0,0,0,0,18.27363099,0,0,0,0,0,0,0,0,0,0,0,0
13,50,0,0,0,0,0,0,0,0,0,0,0,0,112.2151897,0,0,0,0,0,0,0,0,0,0,0,0
14,51,0,0,0,0,0,0,0,0,0,0,0,0,8.369968444,0,0,0,0,0,0,0,0,0,0,0,0
15,52,0,0,0,0,0,0,0,0,0,0,0,0,4.256196141,0,0,0,0,0,0,0,0,0,0,0,0
16,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,55,0,0,0,0,0,0,0,0,0,0,0,0,49.509188,0,0,0,0,0,0,0,0,0,0,0,0
19,56,0,0,0,0,0,0,0,0,0,0,0,0,177.72058,0,0,0,0,0,0,0,0,0,0,0,0
20,57,0,0,0,0,0,0,0,0,0,0,0,0,143.9704489,0,0,0,0,0,0,0,0,0,0,0,0
21,58,0,0,0,0,0,0,0,0,0,0,0,0,24.63446319,0,0,0,0,0,0,0,0,0,0,0,0
22,59,0,0,0,0,0,0,0,0,0,0,0,0,38.15668903,0,0,0,0,0,0,0,0,0,0,0,0
23,60,0,0,0,0,0,0,0,0,0,0,0,0,0.941739082,0,0,0,0,0,0,0,0,0,0,0,0
24,61,0,0,0,0,0,0,0,0,0,0,0,0,1.067927957,0.80427357,0,0,0,0,0,0,0,0,0,0,0
25,62,0,0,0,0,0,0,0,0,0,0,0,0,4.302075505,1.07236476,0,0,0,0,0,0,0,0,0,0,0
26,63,0,0,0,0,0,0,0,0,0,0,0,0,0,24.99468439,0,0,0,0,0,0,0,0,0,0,0
27,64,0,0,0,0,0,0,0,0,0,0,0,0,0.860686026,83.39704746,0,0,0,0,0,0,0,0,0,0,0
28,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,66,0,0,0,0,0,0,0,0,0,0,0,0,0.097607464,0,0,0,72.70387441,0,0,0,0,0,0,0,0
30,67,0,0,0,0,0,0,0,0,0,0,0,0,48.67691553,0,0,0,0,0,0,0,0,0,0,0,0
31,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,69,0,0,0,0,0,0,0,0,0,0,0,0,17.74070561,0,0,0,0,0,0,0,0,0,0,0,0
33,71,0,0,0,0,0,0,0,0,0,0,0,0,184.7337922,0,0,0,0,0,0,0,0,0,0,0,0
34,72,0,0,0,0,0,0,0,0,0,0,0,0,12.08085382,0,0,0,0,0,0,0,0,0,0,0,0
35,73,0,0,0,0,0,0,0,0,0,0,0,0,9.050422668,0,0,0,0,0,0,0,0,0,0,0,0
36,74,0,0,0,0,0,0,0,0,0,0,0,0,11.23285675,0,0,0,0,0,0,0,0,0,0,0,0
37,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,77,0,0,0,0,0,0,0,0,0,0,0,0,8.017225742,0,0,0,0,0,0,0,0,0,0,0,0
40,79,0,0,0,0,0,0,0,0,0,0,0,0,22.68646145,0,0,0,0,0,0,0,0,0,0,0,0
41,80,0,0,0,0,0,0,0,0,0,0,0,0,16.74955338,0,0,0,0,0,0,0,0,0,0,0,0
42,81,0,0,0,0,0,0,0,0,0,0,0,0,23.15160775,0,0,0,0,0,0,0,0,0,0,0,0
43,82,0,0,0,0,0,0,0,0,0,0,0,0,21.02082574,0,0,0,0,0,0,0,0,0,0,0,0
44,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
