"","kba","coastal_protection_reef","coastal_protection","coastal_protection_offshore","coastal_protection_onshore","commercial_timber","domestic_timber","flood_mitigation_500km","flood_mitigation_50km","fuelwood","fwfish","grazing","marinefish","moisture_recycling","nitrogen_retention_500km","nitrogen_retention_50km","nature_access_rural_6hr","nature_access_rural_1hr","nature_access_urban_6hr","nature_access_urban_1hr","pollination","reef_tourism","sediment_deposition_500km","sediment_deposition_50km","vulnerable_carbon"
"1",19,0,0,0,0,4.28683777547352,0.000737060478345684,60490.6059244606,8525.99155041476,4.8545119037824,0,8.00704594998737,0,1430.52708943445,1118195441.25,514645802.4375,36071899.40625,1732061.39241409,40789334.5234375,2025343.24902344,0.00339202738587119,0,75454168.1610107,33874345.8009033,9640
"2",35,0,0,0,0,41.7658044382291,1.55643008296438,760391.321461051,34770.1731361804,7.77338627392352,0.830317319370806,1.92994583988112,0,3469.35812400035,6556575651,411371614.625,817633290.25,9476074.97247314,456512439.5625,0,0.0376037906950573,0,25867612.1491318,1605972.48690009,24016
"3",36,0,0,0,0,12.7575780801246,0,282682.096150135,9448.39798214237,2.35152183566213,3.41465286444873,2.19321490423062,0,1399.67903282947,3282345921,136954631.984375,496729977,9744350.35351562,236402651,3045373.93261719,7.57652400366587,0,8594802.81346536,381320.393211953,9591
"4",37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",38,0,0,0,0,0.0252510281724027,0,1389.42090507943,113.509049678555,0.0179964839774631,0.395141541957855,0.124179687825675,0,14.4556588500015,137345296,12965663,4862239,140495.765625,2402154.5,377.376708984375,1.10614371299744,0,6727823.5,635549.5625,62
"6",39,0,0,0,0,0,0,4161.80559484893,336.186795515088,0,0,0,0,46.5070166816524,54747874,4397072.8125,6000534,154080.703125,2643621.25,9729.51171875,37.8115434646606,0,55970.5585403442,4697.72318220139,175
"7",40,0,0,0,0,0,0,1055.18791985114,107.067712648778,0,2.99207979440689,0.0641711205244064,0,76.9418718756231,32263660.25,3315086.09375,31367196,925739.7109375,8461225.5,0,64.7037448883057,0,7822.13771057129,857.658275604248,376
"8",41,0,0,0,0,0,0,6481.17240486048,528.894024926182,0,24.3053153902292,0.878719508377095,0,292.379113127368,129519666.75,11258657.0625,47219390.375,1760066.78125,15851021.375,0,81.5656345188618,0,155888.342101097,14745.5989678204,1453
"9",42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",43,0,0,0,0,0.00777956042524235,0,419.280126976454,37.8821518623139,0.00999787620114801,1.05225050449371,0.128342241048813,0,0,4206283.875,381221.515625,0,0,0,0,22.6828408241272,0,3283624.63085938,300561.462402344,88
"11",48,0,0,0,0,0,0,0,0,0,0,0,106.716449588537,0,0,0,0,0,0,0,0,0,0,0,0
"12",49,0,0,0,0,0,0,0,0,0,0,0,98.2198922652751,0,0,0,0,0,0,0,0,0,0,0,0
"13",50,0,0,0,0,0,0,0,0,0,0,0,786.010800212622,0,0,0,0,0,0,0,0,0,0,0,0
"14",51,0,0,0,0,0,0,0,0,0,0,0,13.3032438494265,0,0,0,0,0,0,0,0,0,0,0,0
"15",52,0,0,0,0,0,0,0,0,0,0,0,853.900687992573,0,0,0,0,0,0,0,0,0,0,0,0
"16",53,0,0,0,0,0,0,0,0,0,0,0,644.403664886951,0,0,0,0,0,0,0,0,0,0,0,0
"17",54,0,0,0,0,0,0,0,0,0,0,0,36.5979866087437,0,0,0,0,0,0,0,0,0,0,0,0
"18",55,0,0,0,0,0,0,0,0,0,0,0,432.225779265165,0,0,0,0,0,0,0,0,0,0,0,0
"19",56,0,0,0,0,0,0,0,0,0,0,0,257.516197413206,0,0,0,0,0,0,0,0,0,0,0,0
"20",57,0,0,0,0,0,0,0,0,0,0,0,437.55573874712,0,0,0,0,0,0,0,0,0,0,0,0
"21",58,0,0,0,0,0,0,0,0,0,0,0,24.6344631910324,0,0,0,0,0,0,0,0,0,0,0,0
"22",59,0,0,0,0,0,0,0,0,0,0,0,73.0182245261967,0,0,0,0,0,0,0,0,0,0,0,0
"23",60,0,0,0,0,0,0,0,0,0,0,0,0.941739082336426,0,0,0,0,0,0,0,0,0,0,0,0
"24",61,0,0,0,0,0,0,0,0,0,0,0,2.49183189868927,1.34045595004219,0,0,0,0,0,0,0,0,0,0,0
"25",62,0,0,0,0,0,0,0,0,0,0,0,6.02290570735931,1.07236476003375,0,0,0,0,0,0,0,0,0,0,0
"26",63,0,0,0,0,0,0,0,0,0,0,0,2.2809444963932,24.9946843922271,0,0,0,0,0,0,0,0,0,0,0
"27",64,0,0,0,0,0,0,0,0,0,0,0,9.59504886809736,86.3778335849126,0,0,0,0,0,0,0,0,0,0,0
"28",65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
