"","kba","domestic_timber"
"1",19,0.000737060478345684
"2",35,1.55643008296438
"3",36,0
"4",37,0
"5",38,0
"6",39,0
"7",40,0
"8",41,0
"9",42,0
"10",43,0
"11",48,0
"12",49,0
"13",50,0
"14",51,0
"15",52,0
"16",53,0
"17",54,0
"18",55,0
"19",56,0
"20",57,0
"21",58,0
"22",59,0
"23",60,0
"24",61,0
"25",62,0
"26",63,0
"27",64,0
"28",65,0
"29",66,0
"30",67,0
"31",68,0
"32",69,0
"33",71,0
"34",72,0
"35",73,0
"36",74,0
"37",75,0
"38",76,0
"39",77,0
"40",79,0
"41",80,0
"42",81,0
"43",82,0
"44",83,0
"45",84,0
"46",85,0
"47",86,0
"48",87,0
"49",88,0
"50",89,0
"51",90,0
"52",91,0
"53",92,0
"54",93,0
"55",94,0
"56",95,0
"57",96,0
"58",97,0
"59",98,0
"60",99,0
"61",100,0
"62",101,0
"63",104,0
"64",107,0
"65",108,0
"66",112,0
"67",113,0
"68",120,0.318006024125801
"69",131,0
"70",161,0
"71",163,0
"72",173,0
"73",175,0
"74",187,0
"75",192,0.00161696595425235
"76",195,0
"77",198,0
"78",199,0.00150414320718009
"79",202,0
"80",206,0
"81",208,0
"82",209,0
"83",211,0
"84",212,0
"85",213,0
"86",214,0
"87",215,0
"88",216,0
"89",219,0
"90",220,0
"91",221,0
"92",222,0
"93",223,0
"94",224,0
"95",226,0
"96",229,0
"97",230,0
"98",231,0
"99",232,0
"100",235,0
"101",236,0
"102",237,0
"103",238,0
"104",239,0
"105",241,0
"106",242,0
"107",243,0
"108",256,0
"109",257,0
"110",259,0
"111",260,0
"112",262,0
"113",265,0.0275552407706932
"114",269,0
"115",271,0.000918575357004207
"116",273,0
"117",276,0
"118",18564,0
"119",278,0
"120",282,0.0237234961241484
"121",283,0.00404465274739226
"122",286,0
"123",287,0
"124",288,0
"125",289,0.0142874397156596
"126",290,0
"127",292,0
"128",293,0
"129",294,0
"130",295,0
"131",297,0
"132",298,0
"133",299,0
"134",300,0
"135",302,0
"136",303,0
"137",304,0
"138",305,0
"139",307,0
"140",308,0
"141",310,0
"142",18949,0
"143",314,0
"144",317,0
"145",318,0
"146",319,0
"147",320,0
"148",321,0
"149",322,0
"150",323,0
"151",324,0
"152",325,0
"153",326,0
"154",330,0
"155",331,0
"156",332,0
"157",333,0
"158",334,0
"159",335,0
"160",336,0
"161",337,0
"162",338,0
"163",342,0
"164",344,0
"165",346,0
"166",347,0
"167",349,0
"168",351,0
"169",352,0
"170",354,0
"171",355,0
"172",357,0.00941952211699877
"173",358,0
"174",359,0
"175",360,0
"176",394,0
"177",395,0
"178",396,0
"179",397,0
"180",398,0
"181",399,0
"182",400,0
"183",401,0
"184",402,0
"185",403,0
"186",404,0
"187",405,0
"188",406,0
"189",407,0
"190",408,0
"191",409,5.12229366668562
"192",410,0
"193",411,0
"194",412,0
"195",413,2.81104625731723
"196",414,0.0137897074574048
"197",415,0
"198",416,0
"199",417,0
"200",418,0
"201",419,0
"202",420,0
"203",421,0
"204",422,0
"205",423,0
"206",424,0.88398031162352
"207",425,0
"208",426,0
"209",427,0
"210",428,0
"211",429,0
"212",430,0
"213",431,0
"214",432,0
"215",433,0
"216",434,1.2711803310427
"217",435,0
"218",436,0
"219",437,0
"220",438,0
"221",439,0
"222",440,0
"223",441,0
"224",442,0.0156766734502837
"225",443,0
"226",445,0
"227",446,0
"228",447,0
"229",448,0
"230",449,0
"231",450,0
"232",451,0
"233",452,0.0852282015879233
"234",453,0
"235",454,0
"236",455,0
"237",456,0.294643704191853
"238",458,0
"239",459,0
"240",461,0
"241",462,0
"242",463,0
"243",464,0
"244",465,0
"245",466,0
"246",468,0
"247",469,0
"248",470,0
"249",471,0
"250",473,0
"251",477,0
"252",479,0
"253",480,0
"254",481,0
"255",484,0
"256",486,0
"257",487,0
"258",488,0
"259",491,0
"260",492,0
"261",493,0
"262",494,0
"263",495,0
"264",496,0
"265",497,0
"266",498,0
"267",500,0
"268",501,0
"269",502,0
"270",503,0
"271",505,0
"272",507,0
"273",509,0
"274",510,0
"275",511,0
"276",513,0
"277",514,0
"278",517,0
"279",518,0
"280",520,0
"281",521,0
"282",522,0
"283",523,0
"284",524,0
"285",525,0
"286",526,0
"287",527,0
"288",528,0
"289",529,0
"290",530,0
"291",531,0
"292",533,0
"293",534,0
"294",535,0
"295",536,0.000774503332867446
"296",537,0
"297",538,0
"298",539,0
"299",540,0
"300",541,0.00493852677529844
"301",542,0
"302",544,0
"303",545,0
"304",546,0
"305",547,0
"306",548,0
"307",549,0
"308",550,0
"309",551,0
"310",552,0
"311",555,0
"312",556,0
"313",557,0
"314",559,0
"315",560,0
"316",561,0
"317",562,0
"318",565,0
"319",567,0
"320",568,0
"321",570,0.07022201737444
"322",571,0
"323",572,0
"324",573,0
"325",574,0
"326",576,0
"327",578,0
"328",580,0
"329",581,0
"330",582,0
"331",583,0
"332",584,0
"333",588,0
"334",589,0
"335",590,0
"336",591,0
"337",592,0
"338",593,0
"339",594,0
"340",595,0
"341",596,0
"342",599,0
"343",601,0
"344",602,0
"345",603,0
"346",604,0
"347",605,0
"348",606,0
"349",608,0
"350",609,0
"351",610,0
"352",611,0
"353",612,0
"354",613,0
"355",614,0
"356",615,0
"357",616,0
"358",617,0
"359",618,0
"360",619,0
"361",620,0
"362",621,0
"363",622,0
"364",623,0
"365",624,0
"366",627,0
"367",628,0
"368",629,0
"369",631,0
"370",632,0
"371",633,0
"372",634,0
"373",635,0
"374",636,0
"375",638,0
"376",642,0
"377",644,0
"378",650,0
"379",651,0
"380",659,0
"381",662,0
"382",667,0
"383",671,0
"384",672,0.291700133794692
"385",673,0
"386",674,0
"387",675,0
"388",678,0
"389",681,0
"390",682,0
"391",683,0
"392",698,0
"393",699,0
"394",700,0
"395",701,0
"396",702,0
"397",703,0
"398",704,0
"399",705,0
"400",706,0
"401",707,0
"402",708,0
"403",709,0
"404",710,0
"405",711,0
"406",712,0
"407",713,0
"408",714,0
"409",715,0
"410",716,0
"411",717,0
"412",718,0
"413",719,0
"414",720,0
"415",721,0
"416",722,0
"417",724,1.13543709891841
"418",725,0
"419",726,0
"420",730,0
"421",731,0
"422",734,0
"423",735,0
"424",736,0
"425",737,0
"426",738,0
"427",739,0
"428",744,0
"429",745,0
"430",746,0
"431",747,0
"432",748,0
"433",749,0
"434",750,0
"435",751,0
"436",752,0
"437",753,0
"438",754,0
"439",755,0
"440",756,0.175359513532681
"441",757,0
"442",772,0
"443",773,0
"444",774,0
"445",775,0
"446",776,2.01576486090167
"447",777,0
"448",779,0.0707301498506981
"449",781,0
"450",791,0
"451",800,0
"452",804,0
"453",805,0
"454",806,0
"455",807,0
"456",808,0
"457",809,0
"458",810,0
"459",812,0
"460",813,0
"461",814,0
"462",815,0
"463",816,0
"464",817,0
"465",822,0
"466",823,0
"467",824,0
"468",826,0
"469",828,0
"470",830,0
"471",831,0.00513373048600265
"472",833,0
"473",834,0
"474",835,0
"475",839,0
"476",840,0
"477",841,0
"478",843,0
"479",844,0
"480",846,0
"481",847,0
"482",849,0
"483",850,0
"484",851,0
"485",852,0
"486",853,0
"487",854,0
"488",855,0
"489",856,0
"490",857,0.43116859459864
"491",858,0
"492",859,0
"493",860,0
"494",861,0
"495",862,0
"496",863,0
"497",864,0
"498",865,0
"499",866,0
"500",867,0
"501",868,0
"502",869,0
"503",870,0
"504",871,0
"505",872,0
"506",873,0
"507",874,0
"508",875,0
"509",876,0
"510",877,0
"511",878,0
"512",879,0
"513",880,0
"514",881,0
"515",882,0
"516",883,0
"517",884,0
"518",885,0
"519",886,0
"520",887,0
"521",888,0
"522",889,0
"523",890,0
"524",891,0
"525",892,0
"526",893,0
"527",894,0
"528",895,0
"529",896,0
"530",897,0
"531",898,0
"532",899,0
"533",900,0
"534",901,0
"535",902,0
"536",903,0
"537",904,0
"538",906,0
"539",907,0
"540",908,0
"541",909,0
"542",910,0
"543",911,0
"544",912,0
"545",913,0
"546",915,0
"547",916,0
"548",917,0
"549",918,0
"550",919,0
"551",921,0
"552",922,0
"553",923,0
"554",924,0
"555",925,0
"556",926,0
"557",927,0
"558",929,0
"559",930,0
"560",931,0
"561",932,0
"562",933,0
"563",934,0
"564",935,0
"565",936,0
"566",937,0
"567",939,0
"568",940,0
"569",941,0
"570",942,0.0250658221482946
"571",944,0
"572",945,0
"573",946,0
"574",947,0
"575",948,0
"576",949,0
"577",950,0
"578",951,0
"579",952,0
"580",953,0
"581",954,0
"582",955,0
"583",956,0
"584",957,0
"585",958,0
"586",959,0
"587",961,0
"588",963,0
"589",964,0
"590",966,0
"591",967,0
"592",969,0
"593",970,0
"594",971,0
"595",972,0
"596",974,0
"597",975,0
"598",976,0
"599",977,0
"600",978,0
"601",979,0
"602",980,0
"603",981,0
"604",983,0
"605",984,0
"606",985,0
"607",994,0.71749128195338
"608",1011,0
"609",1138,0
"610",1149,0
"611",1162,0.625174447557302
"612",1286,0
"613",1287,0
"614",1288,0
"615",1289,0
"616",1290,0
"617",1292,0
"618",1293,0
"619",1294,0
"620",1295,0
"621",1296,0
"622",1297,0
"623",1301,0
"624",1302,0
"625",1303,0
"626",1304,0
"627",1305,0
"628",1306,0
"629",1307,0
"630",1308,0
"631",1309,0
"632",1310,0
"633",1311,0
"634",1312,0
"635",1313,0
"636",1314,0
"637",1315,0
"638",1316,0
"639",1317,0
"640",1318,0
"641",1319,0
"642",1320,0
"643",1321,0
"644",1322,0
"645",1323,0
"646",1324,0
"647",1325,0
"648",1326,0
"649",1327,0
"650",1328,0
"651",1329,0
"652",1330,0
"653",1331,0
"654",1332,0
"655",1333,0
"656",1335,0
"657",1336,0
"658",1337,0
"659",1338,0
"660",1339,0
"661",1340,0
"662",1341,0
"663",1342,0
"664",1343,0
"665",1344,0
"666",1345,0
"667",1346,0
"668",1347,0
"669",1348,0
"670",1349,0
"671",1350,0
"672",1351,0
"673",1353,0
"674",1354,0
"675",1355,0
"676",1356,0
"677",1357,0
"678",1358,0
"679",1359,0
"680",1360,0
"681",1361,0
"682",1362,0
"683",1363,0
"684",1364,0
"685",1365,0
"686",1366,0
"687",1367,0
"688",1368,0
"689",1369,0
"690",1370,0
"691",1371,0
"692",1372,0
"693",1373,0
"694",1374,0
"695",1375,0
"696",1376,0
"697",1377,0
"698",1378,0
"699",1379,0
"700",1382,0
"701",1383,0
"702",1384,0
"703",1385,0.824172372075008
"704",1386,0
"705",1387,0
"706",1388,0
"707",1389,1.26189943788261
"708",1390,0
"709",1391,0
"710",1392,0
"711",1394,0
"712",1395,0
"713",1396,0
"714",1397,0
"715",1398,0
"716",1399,0
"717",1400,0
"718",1401,0
"719",1402,0
"720",1403,0
"721",1404,0
"722",1405,0
"723",1406,0
"724",1407,0
"725",1408,0
"726",1409,0
"727",1411,0
"728",1412,0
"729",1413,0
"730",1414,0
"731",1415,0
"732",1417,0
"733",1418,0
"734",1419,0
"735",1420,0
"736",1421,0
"737",1422,0
"738",2034,1.42302075304432
"739",2035,0
"740",2036,1.09824882779941
"741",2038,0
"742",2039,0
"743",2040,0
"744",2041,0
"745",2042,0
"746",2043,0
"747",2046,0
"748",2047,0
"749",2049,0
"750",2050,0
"751",2051,0
"752",2052,0
"753",2054,0
"754",2056,0
"755",2057,0
"756",2058,0
"757",2059,0
"758",2060,0
"759",2061,0
"760",2063,0
"761",2064,0
"762",2065,0
"763",2066,0
"764",2067,0
"765",2068,0
"766",2069,0
"767",2070,0
"768",2071,0
"769",2072,0
"770",2073,0
"771",2074,0
"772",2075,0
"773",2076,0
"774",2077,0
"775",2078,0
"776",2079,0
"777",2081,0
"778",2082,0
"779",2083,0
"780",2084,0
"781",2085,0
"782",2086,0
"783",2087,0
"784",2088,0
"785",2089,0
"786",2090,0
"787",2091,0
"788",2092,0
"789",2093,0
"790",2094,0
"791",2095,0
"792",2097,0
"793",2098,0
"794",2099,0
"795",2101,0
"796",2102,0
"797",2103,0
"798",2104,0
"799",2105,0
"800",2106,0
"801",2107,0
"802",2108,0
"803",2109,0
"804",2110,0
"805",2111,0
"806",2112,0
"807",2113,0
"808",2114,0
"809",2115,0.311847978254787
"810",2116,3.59329360295567
"811",2117,0
"812",2118,0
"813",2119,0
"814",2120,0
"815",2121,0
"816",2122,0
"817",2123,0
"818",2124,0
"819",2125,0
"820",2126,0
"821",2127,0
"822",2128,0
"823",2129,0
"824",2131,0
"825",2132,0
"826",2133,0
"827",2134,0
"828",2710,0.131843843412108
"829",2711,2.11693882555977
"830",2712,0
"831",2713,0
"832",2718,0
"833",2719,1.40010946459995
"834",2722,0.000121695481341216
"835",2723,0
"836",2724,0
"837",2725,0
"838",2726,0
"839",2727,0
"840",2728,0
"841",2732,2.28261683426399
"842",2733,0.712302366415095
"843",2734,2.09355400396097
"844",2735,0.0358818219860743
"845",2736,0.974496499441889
"846",2737,0
"847",2742,0
"848",2744,0
"849",2751,0
"850",2840,0
"851",2841,0
"852",2854,0
"853",2865,0
"854",2866,0
"855",2867,0
"856",2868,0
"857",2870,0
"858",2873,0
"859",2874,1.2614208907867
"860",2875,0
"861",2886,0
"862",2888,0
"863",2893,0.738609778718808
"864",2895,0
"865",2897,0
"866",2906,0.00406883566004148
"867",2914,0
"868",2915,0
"869",2916,0
"870",2917,0
"871",2918,0
"872",2919,0
"873",2920,0
"874",2921,0
"875",2922,0
"876",2923,0
"877",2924,0
"878",2925,0
"879",2926,0
"880",2927,0
"881",2928,0
"882",2929,0
"883",2930,0
"884",2936,0
"885",2937,0
"886",2938,0
"887",2939,0
"888",2940,0
"889",2941,0
"890",2942,0
"891",2946,0
"892",2947,0
"893",2948,0
"894",2949,0
"895",3077,0
"896",3080,0
"897",3086,0
"898",3087,0
"899",3088,0
"900",3089,4.32601814029001
"901",3090,0
"902",3091,0
"903",3094,0
"904",3095,0
"905",3096,1.20328090542669
"906",3097,0
"907",3098,0.100760924910369
"908",3099,1.40456503387776
"909",3100,0
"910",3101,1.33040469648791
"911",3102,0
"912",3103,0
"913",3104,0
"914",3105,0
"915",3106,0
"916",3107,0.81185210604787
"917",3108,0
"918",3109,0
"919",3110,0
"920",3112,0
"921",3113,1.18246794610316
"922",3114,0
"923",3115,0
"924",3116,0
"925",3118,0
"926",3120,0
"927",3129,0.213200218361961
"928",3131,2.74251107187405
"929",3132,0
"930",3133,0.0945963057297179
"931",3136,0
"932",3137,0
"933",3203,0
"934",3204,0
"935",3205,0
"936",3206,0
"937",3207,0
